timestamp,no2_ug_m3,o3_ug_m3,hcho_ug_m3
2023-10-06 03:00:00+00:00,45.308,52.92,
2023-10-06 04:00:00+00:00,64.10799999999999,29.4,
2023-10-06 05:00:00+00:00,75.952,19.6,
2023-10-06 06:00:00+00:00,80.464,5.88,
2023-10-06 07:00:00+00:00,67.868,11.76,
2023-10-06 08:00:00+00:00,77.456,1.96,
2023-10-06 09:00:00+00:00,68.05600000000001,1.96,
2023-10-06 10:00:00+00:00,58.28,9.8,
2023-10-06 11:00:00+00:00,62.980000000000004,3.92,
2023-10-06 12:00:00+00:00,65.988,0.0,
2023-10-06 13:00:00+00:00,64.672,0.0,
2023-10-06 14:00:00+00:00,65.048,3.92,
2023-10-06 19:00:00+00:00,47.564,90.16,
2023-10-06 20:00:00+00:00,51.324000000000005,129.36,
2023-10-06 21:00:00+00:00,34.404,121.52,
2023-10-06 22:00:00+00:00,19.928,125.44,
2023-10-06 23:00:00+00:00,13.724,131.32000000000002,
2023-10-07 00:00:00+00:00,15.040000000000001,121.52,
2023-10-07 01:00:00+00:00,17.108,103.88,
2023-10-07 02:00:00+00:00,51.7,56.84,
2023-10-07 03:00:00+00:00,56.024,47.04,
2023-10-07 04:00:00+00:00,79.712,25.48,
2023-10-07 05:00:00+00:00,97.384,7.84,
2023-10-07 06:00:00+00:00,89.86399999999999,3.92,
2023-10-07 07:00:00+00:00,83.096,0.0,
2023-10-07 08:00:00+00:00,73.32,5.88,
2023-10-07 09:00:00+00:00,75.2,0.0,
2023-10-07 10:00:00+00:00,68.99600000000001,0.0,
2023-10-07 11:00:00+00:00,65.048,0.0,
2023-10-07 12:00:00+00:00,61.476,0.0,
2023-10-07 13:00:00+00:00,57.528000000000006,0.0,
2023-10-07 14:00:00+00:00,55.272,3.92,
2023-10-07 15:00:00+00:00,62.980000000000004,9.8,
2023-10-07 16:00:00+00:00,57.339999999999996,29.4,
2023-10-07 17:00:00+00:00,70.312,45.08,
2023-10-07 18:00:00+00:00,55.083999999999996,76.44,
2023-10-07 19:00:00+00:00,40.232,113.68,
2023-10-07 20:00:00+00:00,51.51199999999999,131.32000000000002,
2023-10-07 21:00:00+00:00,45.12,152.88,
2023-10-07 22:00:00+00:00,32.148,154.84,
2023-10-07 23:00:00+00:00,22.372,168.55999999999997,
2023-10-08 00:00:00+00:00,25.755999999999997,174.44,
2023-10-08 01:00:00+00:00,18.048,160.72,
2023-10-08 02:00:00+00:00,22.372,131.32000000000002,
2023-10-08 03:00:00+00:00,44.18,109.76,
2023-10-08 04:00:00+00:00,56.211999999999996,58.8,
2023-10-08 05:00:00+00:00,60.536,31.36,
2023-10-08 06:00:00+00:00,73.50800000000001,13.72,
2023-10-08 07:00:00+00:00,62.980000000000004,13.72,
2023-10-08 08:00:00+00:00,64.296,13.72,
2023-10-08 09:00:00+00:00,74.44800000000001,3.92,
2023-10-08 10:00:00+00:00,56.588,23.52,
2023-10-08 11:00:00+00:00,47.0,33.32,
2023-10-08 12:00:00+00:00,66.928,11.76,
2023-10-08 13:00:00+00:00,60.348000000000006,13.72,
2023-10-08 14:00:00+00:00,62.040000000000006,9.8,
2023-10-08 15:00:00+00:00,59.22,15.68,
2023-10-08 16:00:00+00:00,50.384,37.24,
2023-10-08 17:00:00+00:00,40.232,62.72,
2023-10-08 18:00:00+00:00,25.004,99.96,
2023-10-08 19:00:00+00:00,16.544,148.96,
2023-10-08 20:00:00+00:00,13.724,154.84,
2023-10-08 21:00:00+00:00,10.34,139.16,
2023-10-08 22:00:00+00:00,9.776,127.4,
2023-10-08 23:00:00+00:00,8.272,113.68,
2023-10-09 00:00:00+00:00,10.904,103.88,
2023-10-09 01:00:00+00:00,13.724,82.32000000000001,
