timestamp,no2_ug_m3
2023-10-06,56.654
2023-10-07,57.661
2023-10-08,42.864
2023-10-09,35.798
2023-10-10,26.222
2023-10-11,18.612
2023-10-12,33.733
2023-10-13,44.587
2023-10-14,35.869
2023-10-15,41.955
2023-10-16,59.377
2023-10-17,56.048
2023-10-18,49.648
2023-10-19,40.765
2023-10-20,53.486
2023-10-21,52.93
2023-10-22,24.565
2023-10-23,12.057
2023-10-24,33.025
2023-10-25,18.001
2023-10-26,22.685
2023-10-27,31.545
2023-10-28,33.84
2023-10-29,32.679
2023-10-30,55.321
2023-10-31,61.789
2023-11-01,58.311
2023-11-02,57.732
2023-11-03,70.476
2023-11-04,73.39
2023-11-05,52.82
2023-11-06,58.962
2023-11-07,23.933
2023-11-08,31.13
2023-11-09,48.144
2023-11-10,59.33
2023-11-11,57.896
2023-11-12,49.46
2023-11-13,56.964
2023-11-14,65.824
2023-11-15,70.806
2023-11-16,25.764
2023-11-17,33.206
