timestamp,o3_ug_m3
2023-10-06,43.466
2023-10-07,52.43
2023-10-08,70.968
2023-10-09,42.14
2023-10-10,43.376
2023-10-11,53.002
2023-10-12,37.52
2023-10-13,49.572
2023-10-14,49.245
2023-10-15,58.228
2023-10-16,44.263
2023-10-17,45.897
2023-10-18,52.103
2023-10-19,49.572
2023-10-20,48.51
2023-10-21,34.708
2023-10-22,38.383
2023-10-23,47.637
2023-10-24,36.995
2023-10-25,52.348
2023-10-26,51.777
2023-10-27,39.608
2023-10-28,42.712
2023-10-29,43.546
2023-10-30,28.803
2023-10-31,29.645
2023-11-01,33.81
2023-11-02,39.772
2023-11-03,42.63
2023-11-04,48.592
2023-11-05,63.998
2023-11-06,46.713
2023-11-07,44.398
2023-11-08,44.59
2023-11-09,30.87
2023-11-10,24.01
2023-11-11,30.543
2023-11-12,42.058
2023-11-13,36.505
2023-11-14,31.605
2023-11-15,20.253
2023-11-16,40.507
2023-11-17,26.95
