date,RH2M_mean
20230108,67.961
20230109,89.468
20230110,94.083
20230111,86.971
20230112,70.234
20230113,66.302
20230114,93.307
20230115,93.696
20230116,89.578
20230117,80.289
20230118,76.960
20230119,69.071
20230120,72.100
20230121,63.864
20230122,60.075
20230123,57.079
20230124,56.962
20230125,59.101
20230126,60.394
20230127,56.349
20230128,82.677
20230129,87.118
20230130,85.964
20230131,57.979
20230201,49.845
20230202,56.740
20230203,52.591
20230204,57.352
20230205,84.243
20230206,75.572
20230207,57.817
20230208,57.717
20230209,56.195
20230210,50.723
20230211,68.816
20230212,76.748
20230213,86.537
20230214,79.418
20230215,61.224
20230216,50.349
20230217,53.380
20230218,52.828
20230219,57.458
20230220,71.831
20230221,80.124
20230222,75.080
20230223,82.602
20230224,88.402
20230225,90.029
20230226,80.789
20230227,87.402
20230228,85.289
20230301,82.613
20230302,64.754
20230303,73.978
20230304,84.670
20230305,85.690
20230306,82.617
20230307,74.844
20230308,77.364
20230309,67.461
20230310,87.601
20230311,93.980
20230312,86.635
20230313,85.363
20230314,94.253
20230315,94.513
20230316,83.432
20230317,76.965
20230318,59.291
20230319,77.050
20230320,89.425
20230321,89.682
20230322,85.715
20230323,83.313
20230324,75.345
20230325,68.294
20230326,67.785
20230327,57.083
20230328,56.057
20230329,81.533
20230330,81.055
20230331,74.523
20230401,65.883
20230402,83.571
20230403,76.523
20230404,64.697
20230405,63.747
20230406,56.170
20230407,65.998
20230408,75.768
20230409,77.785
20230410,60.447
20230411,62.882
20230412,82.380
20230413,85.198
20230414,79.095
20230415,75.566
20230416,75.810
20230417,83.385
20230418,77.883
20230419,67.841
20230420,61.448
20230421,53.283
20230422,61.800
20230423,71.401
20230424,78.987
20230425,75.516
20230426,66.605
20230427,55.875
20230428,63.024
20230429,65.742
20230430,71.765
20230501,84.742
20230502,78.722
20230503,76.655
20230504,81.418
20230505,80.297
20230506,78.331
20230507,78.492
20230508,79.069
20230509,84.373
20230510,80.647
20230511,78.386
20230512,76.288
20230513,69.050
20230514,73.158
20230515,73.119
20230516,66.598
20230517,60.586
20230518,68.598
20230519,74.490
20230520,75.907
20230521,76.140
20230522,75.213
20230523,79.211
20230524,77.872
20230525,77.084
20230526,80.451
20230527,80.581
20230528,81.887
20230529,79.740
