date,t2m_mean
20230108,12.650
20230109,12.500
20230110,11.960
20230111,10.300
20230112,12.340
20230113,12.360
20230114,11.180
20230115,9.930
20230116,10.550
20230117,7.980
20230118,8.480
20230119,8.540
20230120,7.250
20230121,8.180
20230122,8.910
20230123,7.620
20230124,9.860
20230125,11.250
20230126,10.680
20230127,11.190
20230128,10.230
20230129,9.010
20230130,8.380
20230131,7.530
20230201,9.600
20230202,11.860
20230203,13.010
20230204,12.910
20230205,11.260
20230206,9.860
20230207,11.380
20230208,13.620
20230209,13.850
20230210,13.400
20230211,10.170
20230212,9.410
20230213,9.930
20230214,9.080
20230215,7.300
20230216,7.970
20230217,9.000
20230218,10.570
20230219,11.020
20230220,13.220
20230221,11.050
20230222,6.010
20230223,5.960
20230224,8.670
20230225,6.600
20230226,6.640
20230227,7.580
20230228,8.860
20230301,7.020
20230302,8.250
20230303,9.380
20230304,9.030
20230305,8.410
20230306,9.070
20230307,9.450
20230308,10.000
20230309,11.400
20230310,10.840
20230311,13.190
20230312,13.380
20230313,12.980
20230314,11.930
20230315,12.320
20230316,11.830
20230317,13.360
20230318,14.510
20230319,12.520
20230320,11.610
20230321,9.620
20230322,8.850
20230323,10.030
20230324,9.890
20230325,9.890
20230326,9.240
20230327,11.180
20230328,11.930
20230329,9.910
20230330,8.700
20230331,10.200
20230401,13.030
20230402,12.090
20230403,9.830
20230404,8.690
20230405,11.200
20230406,13.550
20230407,13.540
20230408,13.770
20230409,16.300
20230410,17.080
20230411,15.460
20230412,12.920
20230413,11.670
20230414,11.750
20230415,14.120
20230416,13.580
20230417,12.850
20230418,12.780
20230419,12.560
20230420,16.490
20230421,19.710
20230422,19.530
20230423,17.360
20230424,15.870
20230425,16.120
20230426,17.710
20230427,18.120
20230428,17.700
20230429,17.680
20230430,14.600
20230501,11.680
20230502,11.450
20230503,11.580
20230504,11.870
20230505,12.690
20230506,13.460
20230507,14.220
20230508,15.210
20230509,13.300
20230510,13.990
20230511,15.180
20230512,17.120
20230513,18.440
20230514,17.650
20230515,17.460
20230516,18.620
20230517,18.940
20230518,17.990
20230519,16.720
20230520,16.960
20230521,17.910
20230522,17.070
20230523,15.850
20230524,14.870
20230525,14.540
20230526,14.330
20230527,15.770
20230528,15.880
20230529,15.950
20230530,14.720
20230531,14.990
20230601,15.460
20230602,16.440
20230603,17.080
20230604,16.870
20230605,15.280
20230606,14.790
20230607,15.400
20230608,16.710
20230609,16.550
20230610,15.550
20230611,15.230
20230612,16.290
20230613,16.980
20230614,16.640
20230615,17.360
20230616,19.140
20230617,20.380
20230618,17.840
20230619,17.090
20230620,18.030
20230621,18.690
20230622,15.800
20230623,16.470
20230624,17.330
20230625,17.280
20230626,18.230
20230627,18.630
20230628,17.610
20230629,20.240
20230630,22.880
20230701,23.510
20230702,22.550
20230703,22.550
20230704,20.280
20230705,19.720
20230706,18.590
20230707,18.550
20230708,19.480
20230709,19.680
20230710,21.750
20230711,23.680
20230712,24.960
20230713,24.800
20230714,25.880
20230715,26.590
20230716,25.400
20230717,25.370
20230718,26.010
20230719,25.960
20230720,26.870
20230721,26.370
20230722,26.370
20230723,24.890
20230724,26.280
20230725,27.540
20230726,27.220
20230727,26.980
20230728,25.940
20230729,26.490
20230730,26.880
20230731,26.420
20230801,25.240
20230802,23.790
20230803,22.930
20230804,23.200
20230805,24.750
20230806,24.850
20230807,23.680
20230808,23.270
20230809,22.980
20230810,22.000
20230811,22.350
20230812,23.330
20230813,23.510
20230814,24.630
20230815,26.130
20230816,27.420
20230817,26.330
20230818,24.690
20230819,23.340
20230820,23.110
20230821,20.810
20230822,22.550
20230823,24.080
20230824,22.290
20230825,22.830
20230826,24.270
20230827,27.050
20230828,28.830
20230829,28.470
20230830,26.600
20230831,23.740
20230901,21.440
20230902,21.470
20230903,20.290
20230904,20.800
20230905,20.510
20230906,20.870
20230907,22.490
20230908,25.730
20230909,26.760
20230910,26.450
20230911,25.320
20230912,22.950
20230913,20.340
20230914,20.310
20230915,20.930
20230916,20.280
20230917,19.990
20230918,19.270
20230919,19.360
20230920,18.750
20230921,17.760
20230922,18.460
20230923,19.070
20230924,19.430
20230925,19.480
20230926,21.140
20230927,21.330
20230928,19.320
20230929,17.990
20230930,16.530
20231001,15.190
20231002,17.250
20231003,20.480
20231004,23.690
20231005,25.430
20231006,26.110
20231007,25.120
20231008,24.690
20231009,21.600
20231010,18.730
20231011,18.510
20231012,19.170
20231013,19.640
20231014,21.380
20231015,23.690
20231016,23.380
20231017,22.740
20231018,23.970
20231019,25.330
20231020,25.010
20231021,22.070
20231022,18.300
20231023,17.880
20231024,18.160
20231025,17.200
20231026,17.550
20231027,16.510
20231028,16.210
20231029,16.540
20231030,17.060
20231031,18.830
20231101,19.610
20231102,20.830
20231103,21.150
20231104,20.740
20231105,20.430
20231106,17.930
20231107,16.190
20231108,15.950
20231109,16.300
20231110,16.050
20231111,17.280
20231112,18.280
20231113,16.350
20231114,17.830
20231115,15.850
20231116,15.910
20231117,15.960
20231118,15.450
20231119,14.830
20231120,14.740
20231121,16.870
20231122,17.720
20231123,16.070
20231124,13.990
20231125,12.680
20231126,12.710
20231127,13.620
20231128,14.470
20231129,12.890
20231130,12.370
20231201,11.610
20231202,12.070
20231203,13.450
20231204,17.060
20231205,18.500
20231206,16.650
20231207,13.660
20231208,12.120
20231209,13.110
20231210,15.020
20231211,15.780
20231212,14.060
20231213,13.130
20231214,14.410
20231215,15.630
20231216,16.460
20231217,17.340
20231218,17.620
20231219,14.600
20231220,13.980
20231221,14.340
20231222,13.840
20231223,13.110
20231224,12.720
20231225,12.630
20231226,14.100
20231227,13.880
20231228,13.180
20231229,12.640
20231230,11.450
20231231,10.430
20240101,12.140
20240102,11.550
20240103,10.860
20240104,9.760
20240105,10.800
20240106,10.500
20240107,7.770
20240108,7.650
20240109,9.170
20240110,8.770
20240111,9.170
20240112,9.110
20240113,10.090
20240114,10.770
20240115,12.100
20240116,13.400
20240117,12.000
20240118,12.960
20240119,13.930
20240120,12.500
20240121,12.550
20240122,12.820
20240123,12.660
20240124,11.770
20240125,12.560
20240126,13.310
20240127,15.820
20240128,17.020
20240129,17.500
20240130,16.240
20240131,13.730
20240201,11.660
20240202,10.490
20240203,10.220
20240204,11.020
20240205,11.740
20240206,8.940
20240207,9.710
20240208,8.290
20240209,9.130
20240210,8.560
20240211,9.770
20240212,11.020
20240213,11.420
20240214,11.520
20240215,12.540
20240216,12.370
20240217,12.010
20240218,12.300
20240219,12.500
20240220,12.860
20240221,12.630
20240222,12.670
20240223,14.910
20240224,15.250
