date,t2m_mean
20250507,16.543
20250508,18.866
20250509,22.911
20250510,25.624
20250511,24.910
20250512,18.028
20250513,14.886
20250514,15.949
20250515,16.643
20250516,16.162
20250517,14.945
20250518,16.020
20250519,18.782
20250520,22.118
20250521,22.646
20250522,21.694
20250523,18.835
20250524,17.152
20250525,17.520
20250526,17.442
20250527,18.121
20250528,17.498
20250529,17.510
20250530,22.197
20250531,23.173
20250601,21.850
20250602,19.618
20250603,18.352
20250604,18.361
20250605,18.030
20250606,18.103
20250607,18.155
20250608,18.094
20250609,19.274
20250610,20.273
20250611,20.211
20250612,19.664
20250613,19.787
20250614,20.427
20250615,23.325
20250616,24.450
20250617,24.387
20250618,24.228
20250619,21.880
20250620,19.679
20250621,18.467
20250622,19.345
20250623,18.823
20250624,18.098
20250625,19.760
20250626,20.656
20250627,21.241
20250628,22.521
20250629,24.370
20250630,23.420
20250701,22.161
20250702,21.140
20250703,20.629
20250704,20.391
20250705,21.872
20250706,22.513
20250707,21.366
20250708,22.735
20250709,24.829
20250710,25.423
20250711,23.135
20250712,20.903
20250713,21.268
20250714,21.425
20250715,20.650
20250716,20.132
20250717,21.627
20250718,22.059
20250719,21.916
20250720,20.809
20250721,19.804
20250722,19.940
20250723,19.909
20250724,20.988
20250725,19.858
20250726,18.705
20250727,19.556
20250728,20.109
20250729,21.505
20250730,22.287
20250731,23.015
20250801,22.453
20250802,22.195
20250803,23.255
20250804,22.864
20250805,23.608
20250806,25.275
20250807,27.480
20250808,26.978
20250809,25.119
20250810,24.334
20250811,25.335
20250812,23.750
20250813,22.801
20250814,21.715
20250815,20.177
20250816,20.598
20250817,21.073
20250818,22.501
20250819,23.785
20250820,25.827
20250821,28.186
20250822,28.445
20250823,27.425
20250824,27.009
20250825,25.897
20250826,24.122
20250827,24.563
20250828,24.777
20250829,26.060
20250830,26.637
20250831,27.405
20250901,26.792
20250902,27.013
20250903,27.449
20250904,26.093
20250905,24.523
20250906,24.321
20250907,24.990
20250908,24.443
20250909,21.210
20250910,19.809
20250911,19.293
20250912,19.956
20250913,20.261
20250914,20.721
20250915,22.695
20250916,25.670
20250917,25.676
20250918,22.528
20250919,21.669
20250920,22.237
20250921,21.955
20250922,22.637
20250923,24.905
20250924,23.865
20250925,21.621
20250926,20.118
20250927,20.161
20250928,19.795
20250929,19.978
20250930,19.109
20251001,19.290
20251002,19.473
