timestamp,ws2m
2025093000,2.12
2025093001,2.28
2025093002,2.0
2025093003,1.3
2025093004,0.52
2025093005,0.55
2025093006,0.71
2025093007,0.89
2025093008,0.79
2025093009,0.63
2025093010,0.47
2025093011,0.44
2025093012,0.5
2025093013,0.5
2025093014,0.51
2025093015,0.58
2025093016,0.41
2025093017,0.43
2025093018,0.79
2025093019,1.33
2025093020,1.89
2025093021,2.25
2025093022,2.43
2025093023,2.4
2025100100,2.08
2025100101,1.62
2025100102,1.16
2025100103,0.85
2025100104,0.62
2025100105,0.34
2025100106,0.15
2025100107,0.32
2025100108,0.53
2025100109,0.56
2025100110,0.48
2025100111,0.41
2025100112,0.47
2025100113,0.61
2025100114,0.72
2025100115,0.77
2025100116,0.49
2025100117,0.67
2025100118,1.18
2025100119,1.65
2025100120,2.02
2025100121,2.22
2025100122,2.22
2025100123,2.11
2025100200,1.89
2025100201,1.55
2025100202,1.06
2025100203,0.65
2025100204,0.25
2025100205,0.17
2025100206,0.33
2025100207,0.38
2025100208,0.42
2025100209,0.55
2025100210,0.73
2025100211,0.91
2025100212,0.91
2025100213,0.68
2025100214,0.4
2025100215,0.25
2025100216,0.75
2025100217,0.93
2025100218,1.13
2025100219,1.46
2025100220,1.87
2025100221,2.14
2025100222,2.1
2025100223,1.89
